Redwoods: R 1—8 / New World redwoods.
ID	NO	ORIGINAL	SUFFIX	DATE	HABITAT /Original	CF	STATUS	KEW	SUFFIX	DATE	CF	RANGE < 1950 DESCENDING /GBIF	NATIVE /RBG KEW	NATIVE ISLANDS? /RBG KEW	NATIVE ISLANDS? /MCJUNKIN	PRECURSOR	CHROMOPHORE	MUNSELL HUES	
		Caesalpinia crista	L.	1753	Zeylona	Species Plantarum 1 p380	Unp					"Asia, Mexico, USA, Belize, Panama, PR "	SE Asia			Brazilin	Brazilein	R – RP	
		Haematoxylum campechianum	L.	1753	Campeche Americes	Species Plantarum 1 p384	Acc					"Mexico, Jamaica, PR, Bahamas, USA, USVI, Cuba, AA, Belize, DR, Asia, Africa"	"SE Mexico, N NE Cen Am"	?	No	Haematoxylin	Haematein	P – PB	
		Caesalpinia sappan	L.	1753	Indiis	Species Plantarum 1 p381	Syn	Biancaea sappan	L.	1875	Hortus Botanicus Panormitanus 1(1) p3	"Asia, Cuba, Africa, USVI"	SE Asia			Brazilin	Brazilein	R – RP	
		Caesalpinia brasiliensis	L.	1753	"Jamaicae, Carolinae collibus"	Species Plantarum 1 p380	Acc						Hispaniola	Yes		Brazilin	Brazilein	R – RP	
		Caesalpinia vesicaria	L.	1753	America calidiore	Species Plantarum 1 p381	Syn	Tara vesicaria	L.	2016	Weberbauerella 1(8) p5	"Mexico, Cuba, Bahamas, Haiti, Jamaica, Nicaragua"	"SE Mexico, NE Cen Am, N NW WI"	Yes		Brazilin	Brazilein	R – RP	
		Caesalpinia echinata	Lam.	1785	"Brésil, dans les bois et parmi les rochers"	Encyclopédie Méthodique 1(2) p461	Syn	Paubrasilia echinata	Lam.	2016	Phytokeys 71 p39	"Brazil, TT"	NE SE Brazil			Brazilin	Brazilein	R – RP	
		Haematoxylum brasiletto	H. Karst.	1859	regiones calidas et aridas montanas ad pedes Andium Columbiae septentrionalis	Florae Columbiae 2 p27	Acc					"Mexico, Nicaragua, Venezuela, Curaçao, Belize, Guatemala"	"Mexico, Cen Am, NE Sth Am"	?	Yes	Brazilin	Brazilein	R – RP	
		Caesalpinia violacea	Standl.	1935		Carnegie Inst. Wash. 461 p61	Syn	Coulteria cubensis	Greenm.	2017	Phytotaxa 291(1) p35	"Mexico, Belize, Cuba, Jamaica"	"SE Mexico, N NE Cen Am, NW WI"	Yes		Brazilin	Brazilein	R – RP	


P estimates: P 1—50 / Pre-censal estimates of population or of proxies for population.
ID	NO	TYPE	LOWER START	PERIOD	PUB	TALLY	PLACE	PLACES	FOR	CF	VIA	NOTE	
E 			1	Hos 8	1 Nov 1770		Sacking of Ambergris Caye	One Sp campaign against Settlement	Ambergris	PA 4 swivel guns c 18 men				carried of a Neg fm Ambergris			burnt sev houses at Ambergris		"Boston News-Letter 3507 p2
General Evening Post 5824 p4"	"MEXICO,3099 -- a 22 mar 1771"	Calderon 214 no 60	"OFICIO DE ARRIAGA A GRIMALDI, EN MADRID A 22-3-771. ""Paso a V. E de orden del Rey la adjunta carta del Gobernador de Yucatán, su fecha 3-9-770, en que participa que habiéndose establecido unos rancheros negros cortando palo de tinta en Punta de Piedra, a 25 leguas del Presidio de Bacalar, se les hizo retirar en los términos que manifiesta el documento que acompaña, ..."" /via Calderon 214 no 60 /MEXICO,3099 -- a 22 mar 1771"	
E 				Crs 1	1 Dec 1770	30 Dec 1770		Fr loggers or merchants or sailors engage Baymen or vice versa	xxx								very dangerous dispute broke out w Fr Log cutters		Middlesex Journal 285 p4			"LONDON ... Letters received form Honduras mention, that a very dangerous dispute has broke out between the logwood cutter in that bay, and the French, who daily interrupt the British trade in those parts. /MJ 285"	
E 		1			1 Jan 1771	30 Dec 1771	Cromford Mill	"Richard Arkwright builds first water-powered spinning mill in Cromford, Derbyshire, England."	Cromford		Richard Arkwright												
E 				Hos 8	1 Jan 1771		Gov. of Jam Reassures Baymen of Safety on Mainland	"Baymen panic in fear of Sp attack, and retreat to St. George’s, after which Gov of Jam reassures them of safety"	"St. George’s, Spanish Town"						for some time past baymen had moved their families to St. George’s Caye … apprehensive of rupture bw GB and Sp to [likely] Jun 1771		"productive of great loss to baymen, little or no Log having been cut"		"Boston News-Letter 3535 Supplement p1
Middlesex Journal 368 p3
General Evening Post 5923 p3"				
E 				Crs 22	1 May 1771	30 May 1771		"Riots or civil unrest break out, inc at least one house looted, unknown number of persons assaulted, and interruption of annual election of Magistrates by a mob"	St. George’s								1 house looted			"CO 137/67 [Inhabitants to Rodney 12 Sep 1771]
ADM 1/238 [Inhabitants to Mackensie 20 Jun 1771 / Botham to Mackensie 8 Jul 1771]"	"Bolland 75 78
Burdon 1 117"	"c Nov 1769 Mags request a Royal Navy ship remain stationed at Hon /v Burdon 1 117 /SPF Spain 182 [Forrest to Stephens 29 Nov 1769]

20 Jun 1771 Inhabitants to Commodore Mackensie, 22 signatures. Request vessel of war be permanently stationed at Hon since ""notwithstanding our ardent endeavours of the contrary we are in a state of anarchy.” /v Burdon 1 117 /ADM 1/238"	
E 				Nat 1	1 Jun 1771		Maya Refugees	"Mayas seek refuge in Settlement during Yuc famine, and Baymen aid them"	xxx						Maya … continue daily to desert from Yucatan to the Eng settlers / receive hospitality				"Boston News-Letter 3535 Supplement p1
General Evening Post 5923 p3
Ann Reg [1771] 163"				
E 				Nat 1	1 Nov 1771	30 Apr 1772		Scarcity of provisions	St. George’s									Prov so scarce / the like not remembered by oldest settlers	"Boston Evening-Post 1884 p2
Boston Evening-Post 1891 p2"				
E 				Hos 8	6 Mar 1772			Sp surprise Fleet	Glover’s		Capt. [or master] Theremin			Jacob’s Well crew taken		Jacob’s Well craft taken			London Evening Post 6915 p4				
E 				Hos 8	6 Dec 1772	31 Dec 1773	Thetis affair	"Baymen steal cargo of Sp register ship Thetis, wrecked off Northern Triangles"	"Northern Triangles, St. George’s"	Diego Britto of Thetis / Gov of Yuc or Alcalde of Bacalar	James Farrell / John Lockhart Smith	"Sir George Bridges Rodney, Admiral of or at Jam"							"Boston Post-Boy 820 p2
Middlesex Journal 641 p4
New-York Gazette and Weekly Mercury 1130 p3"	"ADM 1/239 [1, 4, 6, 26 May 1773]"	Burdon 1 p119	"Cadiz, April 2. We have recieved the bad news, tha the Thetis frigate, bound from Honduras to the Havanna, with a cargo of (amongst other articles) 1800 serons of indigo, was wrecked on the 6th of December, near Cape Atocha. The crew and what specie was on board were saved, but the cargo was totally lost. /MJ 641

1773, May 1st. Adm. Rodney, Jamaica, to Sec. Stephens. ... Encloses Affadavit by James Ferrals of St. George's Kay ... ""Thetis"" carring ""1800 screens of indigo, a large quantity of sarsaparilla, 29 chests of registered Money, and private property to a great amount"" was wrecked on the Northern Triangles. Towards the end of January two of her officers came to St. George's Key and after several attempts managed to reach the Triangles with a party of Baymen who agreed to help in getting off the cargo in return for proper salvage money. The Spaniards then removed the crew and register mone first to St. George's Key and thence to Bacalar, leaving Mr. John Lockhart Smith (a naval Lieutenant and a Bayman) in charge of the frigate and cargo. After the Spaniards had gone, several Bay vessels full of indigo arrived at the Key from the wreck, and letters from the Commandant at Bacalar inquiring about the cargo were not attended to. The Baymen proposed to confiscate the whole of it and when Ferrals remonstrated they threatened his life. The Frigate [Thetis], which lay high and dry was unnecessarily burnt. ""Sworn before me ..."" Gilbert Mathison. /via Burdon 1 p119 /Adm 1/239"	
E 				Hos 8	1 Mar 1773	30 Jul 1773		Sp surprise Fleet	xxx								destoyed all mahogany logwood fustick lying in small bays / some to many maerchants forced to leave without cargo		Middlesex Journal 696 p4			"A letter from Jamaica mentions, that a vessel from the bay of Honduras had arrived there, and brings an account tha thte Spaniards, by an order from Old Spain, had once more destroyed all the mahogany, logwood and fustick, lying in the small bays, to prevent our traders comin gon that coast; and that they were obliged to come away without a load. /MJ 696 p4"	
E 		1			26 May 1773	26 May 1773	Select Committee of Public Meeting	Public Meeting appoints special Committee to look into and report on the Thetis Affair	St. George’s		Chairman of Committee on Thetis Richard Hoare									"ADM 1/239 [26, 27, 29 May, 25 Sep 1773]"	Burdon 1 p120	"1773, May 26th. Meeting of the Inhabitants, St. George's Key. ... The Inhabitants having assembled at the House of Mrs. Hannah Morey about the hour of ten in the forenoon,"" the Clerk of the Court read [Sir George Bridges] Rodney's and [Captain xxx] Davey's letters [regarding the Thetis Affair]. A Committee was appointed to prepare an address to Rodney and with permission to procure from the settlers copies of letters bearing on the ""Thetis"" and to examine persons concerned. All absentees to be notified so that the Committee's Report on the question may be laid before them as soon as possible. /via Burdon 1 p120 /Adm 1/239 [26 May 1773]"	
E 				Rev 2	28 May 1773			Mr. Walters Davidson’s slaves start a general revolt	Old			Capt Davis HMS Diligence	2 white men killed / Hill killed later / one family feared shot dead later / 1 steersman killed later	some to many slaves on St. George’s imprisoned in Diligence [to prevent their joining revolt]			min 4 families robbed	will be very little wood of any kind shipped in 1773	"Boston Post-Boy 830 p2
Rivington’s New York Gazetteer 16 p3
New-York Gazette and Weekly Mercury 1140 p3
New-York Journal 1600 p3
Boston Post-Boy 838 p3
General Evening Post 6225 p3
Rivington’s New York Gazetteer 29 p3"	"ADM 1/239 [29 May, 21 Jun, 8 Aug 1773]"	Burdon I p121	"Letter from New-York, dated July 12, say, ""Advice is received from Honduras Bay, dated the 29 of May last [1773], that the day before the inhabitants at St. George's Key were alarmed with an account of an insurrection havign happened among the negroes in the Old River, which broke out amongst the slaves belonging to Walter Davidson, who, when the accounts came away, had murdered two white men, and being powerful in number, were proceeding to the next mahogany works, to invite or force the slaves to join them. A number of inhavitants, joined to a detachment of sailors from the Diligence man of war, properly victualled and armed, are just now preparing to set off in quest of the revolters; every person possessed of families and property in the different rivers, are obliged to quit the key and proceed thither : such negroes as are suspected on this key, were last night taken up and confied on board the man of war; every precaution in taken to prevent any further disorder, and it is hoped the insurrection will, with the blessing of God, be subdued in a short time. /GEP 6225"	
E 				Rev 2	4 Jun 1773		Escape Killings	"Yuc or Sp vecinos offer asylum to slaves or revolting slaves, and allegedly encourage them to kill and rob master before escaping to Yuc"	"Hondo, New"	Guards	"3 Neg of John Fullon, Hugh Wilson / [prev] other slaves"	"Capt. McDugall / [prev] Capt. Wooldrige, Capt. McCarthy"	min 3 Captains killed by slaves < Jun 73		min 3 slaves escape to Yuc with help of Guards < Jun 73		min 1 craft ransacked by Guards		Rivington’s New York Gazetteer 16 p3	"ADM 1/239 [8, 10 Aug, 11 Oct 1773]"	Burdon 1 p122		
E 				Rev 2	7 Jun 1773		Marshmen’s Engagement	Baymen engage revolters	xxx		"c 50 slaves w 16 muskets, cutlasses etc."	"Capt Thomas Davey, Baymen / 3 parties of 30 or 40 men ea. [later]"	6 white men prev killed / lead revolter likely fatally wounded	14 slaves had [possibly] been impressed prev / returned 8 Jun 73	revolters retire to woods		taken five settlements [houses likely] prev			ADM 1/239	Burdon I p121—5		
E 				Hos 8	1 Aug 1773	23 Aug 1773		"Sp demand cargo from Thetis, causing panic amongst Baymen"	St. George’s										Daily Advertiser 13388 p1	ADM 1/239 [6 Nov 1773]	Burdon 1 p124	"New-York. Oct. 4. By a Letter from the Bay of Honduras, of the 23rd of August, we learn, ... that a small Spanish Vessel lately arrived there to demand the Cargo of a Register Ship cast away some Time since on the Northern Triangles; which alamred the Settlers so much that most of the principal ones there intended soon to embark for the Musqueto Shore, Georgia, &c. with all their Property. /DA 13388

1773, November 6th. Adm. Rodney, Jamaica, to Sec. Stephens. ... Capt. Judd could get no satisfaction out of the Inhabitants about the ""Thetis."" Those who converted the effects [salvaged from Thetis] to their own uses are leaving the Bay for fear of punishment. /via Burdon 1 p124 /Adm 1/239"	
E 				Rev 2	1 Aug 1773			Magistrates lead party in search of revolters	xxx		c 70 revolters ?	parties led by Magistrates	taken or destroyed about 40 revolters	taken or destroyed about 40 revolters						xxx			
E 				Rev 2	27 Aug 1773	30 Sep 1773		"Magistrates’ expedition against revolters returns unsuccessful, and man of war Garland arrives to help quell revolt"	St. George’s			Capt W. Judd HMS Garland			c 70 revolters in woods / w Sp				"Daily Advertiser 13388 p1
Rinvington's New York Gazetteer 29 p3"				
E 				Hos 10	1 Sep 1773	30 Nov 1773		Indians raid Settlement	xxx				massacred numbers of Eng				always taken what iron [arms] they could find / set fire to some houses		Middlesex Journal 730 p4				
E 				War 6	1 Mar 1776	30 Dec 1784	Am Refugees	"American families take refuge in Settlement for duration of American Revolution, and Baymen aid at least with housing"	xxx						sev families from various parts of Am				"St. James's Chronicle or the British Evening Post 2374 p4
St. James's Chronicle or the British Evening Post 2684 p5
Morning Herald 1355 p2"	CO 137/88 [9 Aug 1789]	Burdon 1 p176	"Despard to Clarke, May 27th, 1789. ... The poor settlers including many American Loyalists are anxious to remove to the Bahamas or the Mosquito Shore [from Hon], since provision-growing is not permitted. /via Burdon 1 p176 /CO 137/88 [9 Aug 1789]"	
E 		1			8 Jul 1776	8 Jul 1776	Mapa de el Pescador	"Detailed map by Joaquín del Castillo, with locations of Eng settlements and logging works in Hon and Mos Shore, and navigation routes off Hon"		Joaquín del Castillo										"MP-GUATEMALA,222
MP-GUATEMALA,223
GUATEMALA,878 [Presidente a 8 jul 1776]"		"Explicacion. Desde el Cavo de Catocohe, ... hasta la Punta de Placencia, no tengo particular conocimiento, solo el de haver estado cindo dias fondeado en la Ysla de Cosumuel, ... Por el año de 760 [1760], con motivo de haver tomado plaza de Piloto en Omoa se me dedico, paraque pasare alos Cayos de Paliaca, à sacar Piedra para las R.e obras de aquel Puerto, cuyo motivo me facilito la proporcion de imponerme bien de su figura, y cayos, que comprende, ... En esta Ysla [Guanaja], se entra porla caveza de el Leste, como lo señala la Linea de punto, y se sale con Barco chico, porla partes del sudoeste: es el refregio de todos los Barcos, que bienen de Jamayca, ò ban de Waliz. ... /MP-GUATEMALA,222

See MPD, 01, 002 =  MP-GUATEMALA,231 for similarly detailed map of 18 Jan 1777 by José Estévez Sierra, with rivers, cayes and extent of Eng presence mapped [""Mapa Geografo de la Costa de Honduras, ... nuevamente reconocida y inspeccionada en el mes de Octubre del año proximo pasado [1776] ...”]"	
E 				War 6	12 Sep 1777		Washington Affair	American privateer threatens and raids Settlement	"St. George’s, Sibun"	Commander Hezekiah Anthony				1 pilot fm St. George’s to Sherboon	evac St. George’s to New for ? m	"2 ships, 1 brig taken"	"supply of rum, sugar demanded for"		"Rivington’s New-York Loyal Gazette 144 p3
Daily Advertiser 14672 p8"	"ADM 1/240
MEXICO,3018 -- a 30 sep 1777, a 19 enero 1779"	Burdon I p126		
E 		1			12 Oct 1778	12 Oct 1778	Reglamento de libre comercio 1778																
E 			1	War 6	2 Sep 1779	30 Nov 1779	Capture of St. George’s Caye	"One Yucatan military campaign against Settlement, after which St. George’s is surrendered to Yucatan but shortly thereafter retaken by Jamaican men"	"Hondo, St. George’s, New"	Gov of Yuc Roberto Rivas Betancourt / Col José Rosado / Valentín Delgago / Col Francisco Piñeiro / Nicolás Pereira 500 soldiers + militia inc Amerindian / 300 soldiers fm Campeche garrison / 13 Frigs some sm Cayucos	2 Frigates of 40 cannons / 1 Brig of 16 cannons / all fm Jam w 700 men [after capture of St. George’s]		2 killed [13 Sep 79]	F George garrison imprisoned = c 250 house Neg	entirely driven fm all Hon [later or same time?] to xxx 1783	craft seized / later liberated	Fort George taken [so houses destroyed?] / deprived Eng of wood [so laid wood destroyed?] / 672 houses destroyed [Ranchos? source?]		"Lloyd’s Evening Post 3699 p5
English Chronicle 560 p4
New-York Packet 429 p2
Morning Chronicle (1770) 6000 p3
Royal Gazette [Kingston] III 115 p5"	"CO 137/75 [Account ... by Hill 1 Oct 1779]
CO 123/3
CO 123/2
INDIFERENTE,1582 [R. Betancourt a J. de Galvez, Mérida a 18 ago 1779]
INDIFERENTE,1582 [R. Betancourt a J. de Galvez, Bacalar a 27 nov 1779]
MEXICO,3155 [Relación para la Gaceta de las operaciones en Walix durante los meses de octubre y noviembre de 1779]
CO 700/BritishHonduras11
CUBA,1278 ff 42–43 
CUBA,1279 ff 51–55v"	"Burdon 1 p128—40
Contreras 71 = Piña Chan 1977 p97
Calderon 244-248
Peniche 242
Molina v 3 276
Barke 16 183"	"See William James 1779 map, published 1791, BNE: http://bdh-rd.bne.es/viewer.vm?id=0000036088 / Gallica: https://gallica.bnf.fr/ark:/12148/btv1b5970793n /v Barke 16 155

In a raid in 1779 the Spaniards claim to have destroyed 338 houses at New river, 200 at Old [rather St. George’s], and 134 at Sibún (Xibún). /Gerhard 74, citing no source

1779, October 1st. An account of the Spaniards' landing at and taking of St. George's Key by the subscriber (Edward Felix Hill) who was then ont he place and an inhabitant. On Wednesday September 15th, 1779, ... N. B. There were 101 White People on the Key when it was taken and 40 of Mixed colour. [and c 250 mostly house negroes, since Neg slaves that cut logwood were then up the River Belize]. /via Burdon 1 p129 /CO 137/75"	
E 			1	War 6	16 Oct 1779	29 Nov 1779	Battle of San Fernando de Omoa	"British Army, with Baymen and unknown number of irregulars, take Omoa"	Omoa	365 men	Col. William Dalrymple / Commodore John Luttrell / 150 Eng soldiers	 2nd Lt. of Bay Fuziliers James Bartlett / 207 Baymen in “Bay Fuziliers” / 35 Shoremen / 59 Mis	"6 killed, ? died of disease"						"St. James's Chronicle or the British Evening Post 2965 p5
St. James’s Chronicle or the British Evening Post 2968 p11"	"CO 137/75 [5, 21, 29 Oct, 28, 29 Dec 1779]
CO 137/76 [22 Jan 1780]
CO 123/3 [12 Apr 1781]
CO 123/2 [13 Sep 1782]"	"Burdon 1 129—31
Peniche 243
Barke 16 185, 197"	"LONDON ... A Letter from Jamaica says that all the Ships that were upon the Omoa Station, when they returned to Jamaica sent more than half their Crews on Shore to Sick Quarters, and that several of them had died of a pestilential Distemper caugh in the Bay of Honduras. /SJC or BEP 2965

1782, September 13th. A List of the several Accounts of Loss sustained by the British settlers at the capture of St. George's Kay by the Spaniards the 15th Day of September 1779, ... Adjusted and Settled, by the Committee Chosen and Appointed for that purpose at Kingston in the Island of Jamaica ... --Jamaica Currancy. ... The total amount claimed is [J] £109,840 4s 6d, plus Interest. /via Burdon 1 p132 /CO 123/2"	
E 			1	War 6	28 Oct 1779	5 Nov 1779		One Yucatan military campaign against Settlement	"St. George’s, Old, New, Sibun"	Gov of Yuc Roberto Rivas Betancourt / Teniente Coronel D. Francisco Piñeiro / 5 Goletas / 10 PA / 8 Dorises / 390 men // later Capt. José Urrutia / 120 men / 9 PA / 4 Dorises				2 Eng 1 Neg fm St. George’s / 3 Neg fm New			> 200 houses destroyed “aunque de madera era de no vulgar arquitectura”			"MEXICO,3155 [Relación para la Gaceta de las operaciones en Walix durante los meses de octubre y noviembre de 1779]"	Calderon 247-248	"[H]a quedado la provincia de Campeche enteramente limpia de enemigos. La pérdida que éstos han sufrido [inc Capture of St. George’s?] en 307 esclavos, 5 goletas y 1 balandra que se les ha tomado, otras 5 goletas y 40 embarcaciones menores echadas a pique, armas, municiones, efectos, considerables porciones de ganado y muebles exquisitos que con las casas ha devorado el fuego, se regula ascenderá a más de 300.000 pesos fuertes. /via Calderon 248 /MEXICO,3155"	
